No.,Title,Feels,Run Time,Original Release Date
68,Ricky Gervais,Strangely underwhelmed,1:02:47,April 20, 2020
69,Nick Kroll,Incredibly proud,1:05:59,April 27, 2020
70,Ted Danson,Oddly comforted,1:03:54,May 4, 2020
71,Mike Myers,Prehensile,1:02:19,May 11, 2020
72,J. J. Abrams,Exceedingly lucky,1:10:41,May 18, 2020
73,Russell Brand,Nervous,1:01:41,May 25, 2020
74,Rob Lowe,Optimistic,1:03:24,June 1, 2020
75,Amy Schumer,Fully indifferent,1:02:00,June 8, 2020
79,Tom Hanks,Grand,1:13:07,July 7, 2020
83,W. Kamau Bell,Cautiously optimistic, but still not great,1:08:19,August 3, 2020
84,Jim Carrey,Warm all over,54:17:00,August 10, 2020
85,Maya Rudolph,Pretty terrific,1:06:14,August 17, 2020
86,Michael Che,Honored,1:06:20,August 24, 2020
87,Jameela Jamil,Better about my hair,1:07:09,August 31, 2020
88,Deon Cole,Wonderful everytime [he's] with Conan O'Brien,1:03:37,September 7, 2020
89,Sean Hayes,Indifferent,59:38:00,September 14, 2020
90,Keith Urban,Incredibly confused,53:05:00,September 21, 2020
91,Rory Scovel,Grateful about being Conan O'Brien's best friend,1:00:30,September 28, 2020
93,Colin Quinn,Euphoric,1:04:28,October 5, 2020
94,Willie Nelson,Great,1:00:38,October 12, 2020
96,Rashida Jones,Fine,1:11:11,October 19, 2020
97,Bruce Springsteen,Ecstatic,56:02:00,October 26, 2020
98,Jim Parsons,Okay (about people saying that me and Conan O'Brien are friends),55:09:00,November 2, 2020
99,Sam Richardson,Honored and obligated,55:30:00,November 9, 2020
100,John Leguizamo,Great,1:02:03,November 16, 2020
101,Kevin Hart,Extremely blessed,1:04:18,November 23, 2020
102,Kristin Chenoweth,Petite about...peeing?,50:47:00,November 30, 2020
103,John Cleese,Morally imperative,53:20:00,December 7, 2020
104,Kaley Cuoco,Giddy,1:00:30,December 14, 2020
105,Amy Sedaris,Bullied (into being Conan's friend),1:00:59,December 21, 2020
106,Matthew Rhys,Blank,1:02:27,December 28, 2020
107,JB Smoove,As though Conan is taking advantage of me and he's putting pressure on people to be his friend,1:01:06,January 4, 2021
107.5,Ron Reagan,—,53:46:00,January 7, 2021
108,Fred Armisen,Productive,56:36:00,January 11, 2021
109,Anthony Anderson,Bloated, hungover, and constipated,59:28:00,January 18, 2021
110,Mike Birbiglia,Terrified,1:01:05,January 25, 2021
111,Bryan Cranston,Very lucky about being happily paid,56:34:00,February 1, 2021
112,David Spade,Sort of excited,57:07:00,February 8, 2021
113,Dave Grohl,Somewhat conflicted,1:02:44,February 15, 2021
114,Kenan Thompson,Great,1:06:51,February 21, 2021
115,Jane Lynch,Chosen and honored,58:57:00,March 1, 2021
116,Angela Kinsey,Zippy and Super-duper excited,55:27:00,March 8, 2021
,Jenna Fischer,,,
117,Shaquille O'Neal,Enigmatic,1:08:08,March 15, 2021
118,Kate Hudson,Insecure,51:40:00,March 22, 2021
119,Seth Meyers,Anxious and excited,58:46:00,March 29, 2021
120,Adam McKay,Old-fashioned-twelve-year-old-about-to-have-a-sleepover excited,58:24:00,April 5, 2021
121,Bob Odenkirk,Confused,56:54:00,April 12, 2021
122,Abbi Jacobson,Scrumptious,54:36:00,April 19, 2021
124,Eric Andre,Titillated,1:05:23,May 3, 2021
125,Seth Rogen,Fantastic,1:04:30,May 10, 2021
126,Jake Tapper,Cromulent,1:02:20,May 17, 2021
127,Tracee Ellis Ross,Really strange, excited, a little squirrelly,58:22:00,May 24, 2021
128,President Barack Obama,Ambivalent,1:04:03,May 31, 2021
129,John Krasinski,Effervescent,56:25:00,June 7, 2021
130,Kathryn Hahn,Like she'd be lying about,59:23:00,June 14, 2021
133,Sean Penn,Relieved,1:00:59,July 4, 2021
134,Weird Al Yankovic,Figuratively tickled pink,57:13:00,July 11, 2021
135,Daniel Radcliffe,Cautiously optimistic,54:24:00,July 18, 2021
136,John Wilson,Very fortunate...?,1:01:55,July 25, 2021
137,Flula Borg,Mmmmmh…oooooooh,59:42:00,August 1, 2021
138,Cecily Strong,Honored,55:22:00,August 8, 2021
139,Michael Keaton,So happy about being here & being Conan O'Brien's friend,59:25:00,August 15, 2021
140,Hannah Einbinder,Confused,1:02:41,August 22, 2021
141,Joel McHale,A little anxious, but good,1:06:19,August 29, 2021
142,Kristen Schaal,Relieved,1:00:47,September 5, 2021
143,Alan Yang,Weirdly fulfilling a childhood dream-thing,57:47:00,September 12, 2021
144,Melissa McCarthy,Just delightful,1:03:27,September 19, 2021
145,Tiffany Haddish,Amazing,1:02:06,September 26, 2021
146,Anderson Cooper,Kind of thrilled that he can be considered,1:02:49,October 3, 2021
147,Jake Gyllenhaal,So many things,1:04:39,October 10, 2021
148,Simon Rich,Extremely grateful,53:18:00,October 17, 2021
149,Daniel Sloss,Privileged,1:11:52,October 24, 2021
150,Elvis Costello,Splendiferous,1:24:14,October 31, 2021
151,Rachel Dratch,Overly excited,1:07:28,November 7, 2021
152,Howie Mandel,Fantastic,1:02:22,November 14, 2021
153,John Lithgow,Is already Conan O'Brien's friend,57:24:00,November 21, 2021
154,Ellie Kemper,Thrilled,57:49:00,November 29, 2021
155,Lea DeLaria,Is gagging,1:01:11,December 5, 2021
156,Will Forte,Honored,59:36:00,December 12, 2021
157,Quentin Tarantino,Trepidatious,1:08:30,December 14, 2021
159,Kieran Culkin,Goal-achieved,1:00:53,December 26, 2021
160,Chris Redd,lucky as a motherf*cker,59:03:00,January 2, 2022
162,Bowen Yang,Dissociative,1:02:54,January 16, 2022
164,Moses Storm,Psychotic,56:08:00,January 30, 2022
164.5,Sonia Sotomayor,Intimidated,1:08:06,February 2, 2022
165,Judy Greer,Privileged,1:02:38,February 6, 2022
166,Marshawn Lynch,Blessed,1:06:27,February 13, 2022
167,Slash,Pretty damn good,1:00:19,February 20, 2022
168,Mike Schur,Fine,1:07:17,February 27, 2022
169,Julie Bowen,Cautiously optimistic,1:07:35,March 6, 2022
170,David Cross,Envious,1:00:39,March 13, 2022
171,Tracy Morgan,Bloated,1:06:46,March 20, 2022
173,Aimee Mann,Apprehensive,57:23:00,April 3, 2022
175,Stephen Merchant,Overqualified,1:00:03,April 17, 2022
176,Molly Shannon,Proud,1:06:33,April 24, 2022
178,Paul F. Tompkins,Cautiously optimistic,1:01:12,May 8, 2022
179,Elle Fanning,Honored,1:05:47,May 15, 2022
181,Professor Brian Cox,Has no idea how to feel,55:52:00,May 30, 2022
183,Vanessa Bayer,Honestly thrilled,58:23:00,June 13, 2022
185,Jack White,Magnanimous,1:15:05,June 27, 2022
186,Taylor Tomlinson,Braggadocious,1:03:25,July 3, 2022
187,Dana Carvey,Stupefied,1:13:39,July 10, 2022
188,Steven Yeun,Ecstatic,1:05:11,July 17, 2022
190,B.J. Novak,Excited, but cautious,1:03:27,July 31, 2022
